

All 8 channels full:
																		Also Ch 8 					Also 6
Channel -- & -- 	 Channel 15 & --	 	 Channel 14 & 00	 	 Channel 03 & 14	 	 Channel 02 & --	 	 Channel 13 & 09	 	 Channel 01 & 01
-------- --------	- 1111 11111111111		- 1110 11111111111		- 0011 11111111110	- 0010 11111111110		- 1001 11111111111	- 0001 11111111110
-------- --------	- ---- -----------		- 0000 11111111111		- 1100 11111111111	- 0010 11111111110		- 1101 11111111111	- 0001 11111111110

-------- --------	- 1111 11111111111		- 1110 11111111111		- 0011 11111111110	- 0010 11111111110		- 1101 11111111111	- 0001 11111111110
-------- --------	- ---- -----------		- 0000 11111111111		- 1100 11111111111	- 0010 11111111110		- 1101 11111111111	- 0001 11111111110

-------- --------	- 1111 11111111111		- 1110 11111111111		- 0011 11111111110	- 0010 11111111110		- 1101 11111111111	- 0001 11111111110
-------- --------	- ---- -----------		- 0000 11111111111		- 1100 11111111111	- 0010 11111111110		- 1101 11111111111	- 0001 11111111110

-------- --------	- 1111 11111111111		- 1110 11111111111		- 0011 11111111110	- 0010 11111111110		- 1101 11111111111	- 0001 11111111110
-------- --------	- ---- -----------		- 0000 11111111111		- 1000 11111111111	- 0110 11111111110		- 1101 11111111111	- 0001 11111111110

-------- --------	- 1111 11111111111		- 1110 11111111111		- 0011 11111111110	- 0010 11111111110		- 1101 11111111111	- 0001 11111111110
-------- --------	- ---- -----------		- 0000 11111111111		- 1100 11111111111	- 0010 11111111110		- 1101 11111111111	- 0001 11111111110

-------- --------	- 1111 11111111111		- 1110 11111111111		- 0011 11111111110	- 0010 11111111110		- 1101 11111111111	- 0001 11111111110
-------- --------	- ---- -----------		- 0000 11111111111		- 1100 11111111111	- 0010 11111111110		- 1101 11111111111	- 0001 11111111110

-------- --------	- 1111 11111111111		- 1110 11111111111		- 0011 11111111110	- 0010 11111111110		- 1001 11111111111	- 0001 11111111110
-------- --------	- ---- -----------		- 0000 11111111111		- 1100 11111111111	- 0010 11111111110		- 1101 11111111111	- 0001 11111111110

-------- --------	- 1111 11111111111		- 1110 11111111111		- 0011 11111111110	- 0010 11111111110		- 1101 11111111111	- 0001 11111111110
-------- --------	- ---- -----------		- 0000 11111111111		- 1000 11111111111	- 0110 11111111110		- 1101 11111111111	- 0001 11111111110

All 8 channels zero: ( IN : 0000 0001 0010 0011 1100 1101 1110 1111 		NOT : 0100 0101 0111 1010 1011 	RARE : 0110 1000 1001 )
All 8 channels zero: ( IN : 0 		1  	 2    3   12   13   14   15  		NOT :    4    5    7   10   11 	RARE :    6    8    9 )
-------- --------	- 1111 00000000001		- 1110 00000000001		- 0011 00000000010	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010
-------- --------	- ---- -----------		- 0000 00000000001		- 1100 00000000001	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010

-------- --------	- 1111 00000000001		- 1110 00000000001		- 0011 00000000010	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010
-------- --------	- ---- -----------		- 0000 00000000001		- 1100 00000000001	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010

-------- --------	- 1111 00000000001		- 1110 00000000001		- 0011 00000000010	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010
-------- --------	- ---- -----------		- 0000 00000000001		- 1100 00000000001	- 0110 00000000010		- 1101 00000000001	- 0001 00000000010

-------- --------	- 1111 00000000001		- 1110 00000000001		- 0011 00000000010	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010
-------- --------	- ---- -----------		- 0000 00000000001		- 1100 00000000001	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010

-------- --------	- 1111 00000000001		- 1110 00000000001		- 0011 00000000010	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010
-------- --------	- ---- -----------		- 0000 00000000001		- 1100 00000000001	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010

-------- --------	- 1111 00000000001		- 1110 00000000001		- 0011 00000000010	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010
-------- --------	- ---- -----------		- 0000 00000000001		- 1000 00000000001	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010

-------- --------	- 1111 00000000001		- 1110 00000000001		- 0011 00000000010	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010
-------- --------	- ---- -----------		- 0000 00000000001		- 1100 00000000001	- 0010 00000000010		- 1101 00000000001	- 0001 00000000010

Bind on AR8000 - Tx confirmed DSMX 11ms
External remote
double fade byte === 0 after boot
split over 2 frames (don't know if both sequential, or just odd / even)
8 channels in every frame - correctly coresponds to values
3 channels rarely in corresponds to values. Maybe mixers?
